#,Player,Team,Matches,Batting,Bowling,Fielding,Other,MOM #,Total
,Windsor Lions CC,,,,,,,,
66.0,Aizaaz Saeed,Cavaliers CC of Windsor,17.0,489.0,520.0,60.0,0.0,0.0,1069.0
,Cavaliers CC of Windsor,,,,,,,,
67.0,Nisarg Tailor,Windsor Lancers CC,13.0,85.0,910.0,70.0,0.0,0.0,1065.0
,Windsor Lancers CC,,,,,,,,
68.0,Imran Bashir,Optimist CC,13.0,404.0,550.0,60.0,50.0,1.0,1064.0
,Optimist CC,,,,,,,,
69.0,William Michaelsamy,Renegades X,13.0,111.0,920.0,30.0,0.0,0.0,1061.0
,Renegades X,,,,,,,,
70.0,Amarjit Singh,Chatham CC,9.0,283.0,610.0,40.0,100.0,2.0,1033.0
,Chatham CC,,,,,,,,
71.0,Dinesh Kumar Ancha,Super Chargers,17.0,401.0,490.0,140.0,0.0,0.0,1031.0
,Super Chargers,,,,,,,,
72.0,Umair Sharif,Optimist CC,15.0,316.0,610.0,50.0,50.0,1.0,1026.0
,Optimist CC,,,,,,,,
73.0,Tejas Joshi,WEUnited CC,19.0,820.0,0.0,200.0,0.0,0.0,1020.0
,WEUnited CC,,,,,,,,
74.0,Harsh Patel,Gujarat Super Lions,12.0,480.0,500.0,30.0,0.0,0.0,1010.0
,Gujarat Super Lions,,,,,,,,
75.0,Sajheet Shetty,Renegades CC,14.0,864.0,0.0,90.0,50.0,1.0,1004.0
,Renegades CC,,,,,,,,
76.0,Smit Bardoli,Super Chargers,17.0,788.0,0.0,60.0,150.0,3.0,998.0
,Super Chargers,,,,,,,,
77.0,Rajan Patel,Gujarat Lions CC,12.0,446.0,400.0,100.0,50.0,1.0,996.0
,Gujarat Lions CC,,,,,,,,
78.0,Ashwinraj Gnanavel,Renegades X,12.0,883.0,0.0,110.0,0.0,0.0,993.0
,Renegades X,,,,,,,,
79.0,Sharath Shankar,Windsor Lancers CC,14.0,545.0,320.0,120.0,0.0,0.0,985.0
,Windsor Lancers CC,,,,,,,,
80.0,Arjun Patel,Gujarat Lions CC,14.0,258.0,590.0,130.0,0.0,0.0,978.0
,Gujarat Lions CC,,,,,,,,
81.0,Kemar Walcott,Cavaliers CC of Windsor,16.0,45.0,800.0,80.0,50.0,1.0,975.0
,Cavaliers CC of Windsor,,,,,,,,
82.0,Aniket Sharma,EOCC,16.0,677.0,270.0,20.0,0.0,0.0,967.0
,EOCC,,,,,,,,
83.0,Adil Shinwari,Cavaliers CC of Windsor,9.0,547.0,340.0,80.0,0.0,0.0,967.0
,Cavaliers CC of Windsor,,,,,,,,
84.0,Jagroop Singh,Windsor Lions 2,18.0,790.0,50.0,70.0,50.0,1.0,960.0
,Windsor Lions 2,,,,,,,,
